row_id,energy
94993,1732.9664137084615
94994,1740.9084491355636
94995,1748.859343217716
94996,1756.7751271578838
94997,1764.6129044472202
94998,1772.331199503136
94999,1779.890289610819
95000,1787.2525168531204
95001,1794.3825769789812
95002,1801.2477823998054
95003,1807.8182968102003
95004,1814.0673392744127
95005,1819.9713559482361
95006,1825.5101579866594
95007,1830.667024571399
95008,1835.428770387807
95009,1839.7857772742188
95010,1843.7319901727356
95011,1847.2648779083374
95012,1850.3853596979995
95013,1853.0976986843282
95014,1855.4093641246914
95015,1857.3308642134486
95016,1858.87555181897
95017,1860.0594056940495
95018,1860.9007899649464
95019,1861.4201949190228
95020,1861.6399622789975
95021,1861.5839982872649
95022,1861.2774780196432
95023,1860.746544394481
95024,1860.0180053580264
95025,1859.119032689633
95026,1858.0768658009147
95027,1856.9185237892123
95028,1855.670528853373
95029,1854.3586439939406
95030,1853.0076277010596
95031,1851.6410080784917
95032,1850.2808785783238
95033,1848.947717219969
95034,1847.66023084282
95035,1846.4352256097225
95036,1845.2875046325655
95037,1844.229793233539
95038,1843.2726920060545
95039,1842.4246574840627
95040,1841.69200988248
95041,1841.0789670392928
95042,1840.587703369433
95043,1840.2184323428787
95044,1839.969510720406
95045,1839.8375625339913
95046,1839.817620575196
95047,1839.9032829697917
95048,1840.0868822582472
95049,1840.3596642881816
95050,1840.7119741404745
95051,1841.1334462680036
95052,1841.6131960228813
95053,1842.140009779451
95054,1842.7025309300036
95055,1843.2894391398497
95056,1843.8896203855693
95057,1844.4923254766916
95058,1845.0873149616368
95059,1845.6649885516806
95060,1846.2164974475213
95061,1846.733838229722
95062,1847.2099272636335
95063,1847.638654871028
95064,1848.014918834428
95065,1848.3346371135399
95066,1848.594739966972
95067,1848.7931419862857
95068,1848.92869484706
95069,1849.0011218732036
95070,1849.0109357813403
95071,1848.9593412246718
95072,1848.8481239832272
95073,1848.679528848197
95074,1848.456128419802
95075,1848.1806851787164
95076,1847.8560092938837
95077,1847.484814703245
95078,1847.069576036978
95079,1846.6123889486112
95080,1846.1148363819443
95081,1845.5778632260135
95082,1845.0016616980333
95083,1844.385569648419
95084,1843.727983809753
95085,1843.026289796582
95086,1842.2768104372487
95087,1841.474773754918
95088,1840.614301639661
95089,1839.6884199560213
95090,1838.6890905245496
95091,1837.6072650945173
95092,1836.432961105626
95093,1835.1553587144301
95094,1833.7629182391408
95095,1832.243516869099
95096,1830.5846031875806
95097,1828.7733677712054
95098,1826.796927871121
95099,1824.642523945968
95100,1822.2977255996382
95101,1819.7506443029329
95102,1816.990150132886
95103,1814.00608964317
95104,1810.7895019117893
95105,1807.3328297764972
95106,1803.63012325932
95107,1799.677232236203
95108,1795.4719854791115
95109,1791.0143533218047
95110,1786.306591347156
95111,1781.3533626999413
95112,1776.1618368380412
95113,1770.7417627974157
95114,1765.1055153315417
95115,1759.2681125850058
95116,1753.2472042989255
95117,1747.0630298824185
95118,1740.7383460457845
95119,1734.298324053577
95120,1727.7704170365803
95121,1721.1841981495884
95122,1714.5711707412654
95123,1707.9645520613824
95124,1701.399032342554
95125,1694.9105114415802
95126,1688.5358155151687
95127,1682.3123964649003
95128,1676.2780171379907
95129,1670.470425482908
95130,1664.9270210121413
95131,1659.6845170734562
95132,1654.7786025267283
95133,1650.2436064537765
95134,1646.1121695621364
95135,1642.4149258985665
95136,1639.1801984076205
95137,1636.4337117607895
95138,1634.198325720581
95139,1632.4937920992206
95140,1631.336538142965
95141,1630.7394789042553
95142,1630.7118608535877
95143,1631.259138665967
95144,1632.3828867556224
95145,1634.0807467632005
95146,1636.3464118111995
95147,1639.1696479416034
95148,1642.5363527475508
95149,1646.4286507992242
95150,1650.8250250615613
95151,1655.7004831061788
95152,1661.0267565356053
95153,1666.7725316643105
95154,1672.9037091702999
95155,1679.3836901006275
95156,1686.1736853168595
95157,1693.2330452342212
95158,1700.5196064616578
95159,1707.9900517718286
95160,1715.600279702337
95161,1723.305779973777
95162,1731.0620108497906
95163,1738.8247745734052
95164,1746.5505870257703
95165,1754.1970378228677
95166,1761.7231372136052
95167,1769.0896462715227
95168,1776.2593870768428
95169,1783.1975298390375
95170,1789.871854159538
95171,1796.2529819349468
95172,1802.314579748052
95173,1808.0335289239326
95174,1813.3900618015348
95175,1818.3678631695677
95176,1822.9541361939462
95177,1827.139632566627
95178,1830.9186470139368
95179,1834.2889766911128
95180,1837.2518463747042
95181,1839.8118007471212
95182,1841.9765654117346
95183,1843.7568786206689
95184,1845.166295999101
95185,1846.2209708280088
95186,1846.9394126988173
95187,1847.3422275566138
95188,1847.451842327112
95189,1847.2922174523926
95190,1846.888550756527
95191,1846.2669761103882
95192,1845.454260375971
95193,1844.477502077624
95194,1843.363835174046
95195,1842.1401411916552
95196,1840.832772829407
95197,1839.4672919551417
95198,1838.0682246975623
95199,1836.6588360817948
95200,1835.2609263811084
95201,1833.8946510581575
95202,1832.5783658421942
95203,1831.328498158713
95204,1830.1594457791741
95205,1829.0835032030582
95206,1828.110815931437
95207,1827.249362439723
95208,1826.504963306888
95209,1825.8813166280472
95210,1825.3800585186823
95211,1825.0008472140016
95212,1824.741468997271
95213,1824.5979639347697
95214,1824.5647691797317
95215,1824.6348774142157
95216,1824.8000078458983
95217,1825.0507870583417
95218,1825.376936932299
95219,1825.7674668096265
95220,1826.2108670699972
95221,1826.6953013210461
95222,1827.208794474199
95223,1827.739414084173
95224,1828.27544247089
95225,1828.805537317262
95226,1829.318878637919
95227,1829.8053002444128
95228,1830.2554040873035
95229,1830.6606561280896
95230,1831.0134626865195
95231,1831.3072265087526
95232,1831.5363821163894
95233,1831.6964103097155
95234,1831.7838320128312
95235,1831.7961819616366
95236,1831.7319630338454
95237,1831.5905823126197
95238,1831.372270244883
95239,1831.077984509219
95240,1830.7093004354529
95241,1830.2682900195107
95242,1829.757391749693
95243,1829.1792735981783
95244,1828.5366916399541
95245,1827.8323468321535
95246,1827.0687425181175
95247,1826.2480452218358
95248,1825.3719512573975
95249,1824.4415616043102
95250,1823.4572673861855
95251,1822.4186481474803
95252,1821.3243849479322
95253,1820.1721900825976
95254,1818.9587550069227
95255,1817.6797177868602
95256,1816.3296511146027
95257,1814.9020716364082
95258,1813.3894710330355
95259,1811.7833689706774
95260,1810.074387723384
95261,1808.2523479454228
95262,1806.3063847497874
95263,1804.2250829418422
95264,1801.9966299630937
95265,1799.6089848084573
95266,1797.0500609294884
95267,1794.3079208974295
95268,1791.3709803833922
95269,1788.2282188402128
95270,1784.869394126011
95271,1781.2852581871246
95272,1777.4677708544089
95273,1773.4103087665526
95274,1769.1078664326765
95275,1764.5572464894842
95276,1759.7572362992412
95277,1754.7087681298897
95278,1749.4150603384523
95279,1743.8817371562538
95280,1738.1169249048328
95281,1732.131322719285
95282,1725.9382461491982
95283,1719.5536423071526
95284,1712.996075560982
95285,1706.286683122374
95286,1699.4491002234972
95287,1692.509354960622
95288,1685.4957332340095
95289,1678.4386145919052
95290,1671.3702801460306
95291,1664.324694088489
95292,1657.3372606586292
95293,1650.4445587476557
95294,1643.6840566239177
95295,1637.0938095170868
95296,1630.7121430556633
95297,1624.577325763221
95298,1618.7272339664762
95299,1613.1990126259543
95300,1608.0287356874035
95301,1603.2510695887854
95302,1598.8989435835522
95303,1595.0032305042218
95304,1591.59244150073
95305,1588.6924381835652
95306,1586.3261654394275
95307,1584.5134079785787
95308,1583.2705734493372
95309,1582.6105046802238
95310,1582.542323305714
95311,1583.0713067080867
95312,1584.1987998506875
95313,1585.9221632059835
95314,1588.234757593286
95315,1591.125966339468
95316,1594.5812547711687
95317,1598.5822666399636
95318,1603.106956671843
95319,1608.1297580450373
95320,1613.621783204455
95321,1619.5510560624589
95322,1625.8827732886173
95323,1632.579592069922
95324,1639.601941425606
95325,1646.9083539201915
95326,1654.4558143814575
95327,1662.2001220434536
95328,1670.0962624122924
95329,1678.0987850342517
95330,1686.1621832816445
95331,1694.2412722893687
95332,1702.2915611764777
95333,1710.269615766243
95334,1718.1334081555942
95335,1725.8426496230704
95336,1733.3591035630075
95337,1740.6468753881413
95338,1747.6726765928977
95339,1754.4060604707372
95340,1760.8196273231933
95341,1766.889197333568
95342,1772.5939496415162
95343,1777.9165265674335
95344,1782.8431023002538
95345,1787.363415771925
95346,1791.4707678522566
95347,1795.1619833775917
95348,1798.437338924165
95349,1801.3004576053258
95350,1803.758172533454
95351,1805.8203609120376
95352,1807.4997510429878
95353,1808.811704799245
95354,1809.7739783718998
95355,1810.4064643049956
95356,1810.7309180014847
95357,1810.7706720267608
95358,1810.5503416205258
95359,1810.095524884789
95360,1809.4325011221579
95361,1808.5879307688801
95362,1807.5885602914993
95363,1806.460935307024
95364,1805.2311250299629
95365,1803.9244609674045
95366,1802.565292562037
95367,1801.1767622299624
